Date,Equipment_ID,Reason,Downtime_Hours
2025-01-01,TR006,Breakdown,6.6
2025-01-01,TR008,Operator Delay,3.0
2025-01-01,TR013,Maintenance,4.4
2025-01-01,TR015,Refueling,3.0
2025-01-01,TR017,Operator Delay,2.8
2025-01-01,TR020,Breakdown,0.6
2025-01-01,EX005,Operator Delay,7.4
2025-01-02,TR001,Weather,1.7
2025-01-02,TR002,Breakdown,6.9
2025-01-02,TR003,Refueling,3.9
2025-01-02,TR005,Weather,3.6
2025-01-02,TR008,Refueling,5.9
2025-01-02,TR010,Breakdown,6.7
2025-01-02,TR013,Maintenance,5.9
2025-01-02,TR015,Weather,3.7
2025-01-02,TR017,Maintenance,7.1
2025-01-02,TR018,Refueling,1.7
2025-01-02,EX003,Refueling,1.6
2025-01-02,EX004,Breakdown,6.5
2025-01-02,EX005,Weather,6.3
2025-01-03,TR005,Operator Delay,4.2
2025-01-03,TR006,Refueling,4.1
2025-01-03,TR009,Breakdown,3.7
2025-01-03,TR010,Refueling,1.6
2025-01-03,TR011,Breakdown,2.4
2025-01-03,TR012,Operator Delay,3.2
2025-01-03,TR017,Maintenance,1.8
2025-01-03,TR018,Refueling,3.2
2025-01-03,TR019,Breakdown,6.0
2025-01-03,EX001,Breakdown,5.3
2025-01-03,EX004,Operator Delay,5.8
2025-01-03,DR001,Refueling,3.9
2025-01-03,DR002,Refueling,5.8
2025-01-03,DR003,Operator Delay,2.4
2025-01-04,TR005,Breakdown,6.3
2025-01-04,TR006,Operator Delay,2.8
2025-01-04,TR008,Refueling,3.6
2025-01-04,TR011,Breakdown,3.7
2025-01-04,TR015,Maintenance,5.8
2025-01-04,TR018,Operator Delay,5.4
2025-01-04,EX001,Breakdown,1.9
2025-01-04,EX002,Breakdown,1.8
2025-01-04,EX003,Maintenance,2.5
2025-01-04,DR001,Breakdown,5.9
2025-01-04,DR003,Weather,2.8
2025-01-05,TR002,Weather,4.1
2025-01-05,TR003,Operator Delay,5.7
2025-01-05,TR004,Maintenance,3.6
2025-01-05,TR005,Weather,4.5
2025-01-05,TR009,Operator Delay,6.1
2025-01-05,TR015,Refueling,2.1
2025-01-05,TR018,Weather,0.7
2025-01-05,TR020,Breakdown,1.9
2025-01-05,EX002,Maintenance,6.0
2025-01-05,EX003,Weather,2.1
2025-01-05,EX004,Breakdown,5.3
2025-01-05,EX005,Refueling,3.7
2025-01-05,DR001,Operator Delay,2.3
2025-01-06,TR003,Weather,3.6
2025-01-06,TR004,Maintenance,3.8
2025-01-06,TR008,Breakdown,6.2
2025-01-06,TR013,Weather,5.2
2025-01-06,TR015,Refueling,1.0
2025-01-06,TR017,Maintenance,6.8
2025-01-06,TR020,Refueling,7.2
2025-01-06,EX002,Weather,6.8
2025-01-06,DR003,Operator Delay,5.3
2025-01-07,TR011,Operator Delay,5.8
2025-01-07,EX002,Refueling,4.0
2025-01-07,DR002,Breakdown,1.5
