Date,Equipment_ID,Fuel_Litres
2025-01-01,TR001,330.0
2025-01-01,TR002,410.3
2025-01-01,TR003,325.9
2025-01-01,TR004,618.5
2025-01-01,TR005,747.7
2025-01-01,TR006,214.8
2025-01-01,TR007,288.9
2025-01-01,TR008,165.4
2025-01-01,TR009,211.4
2025-01-01,TR010,413.6
2025-01-01,TR011,716.2
2025-01-01,TR012,524.1
2025-01-01,TR013,123.7
2025-01-01,TR014,592.6
2025-01-01,TR015,732.1
2025-01-01,TR016,402.6
2025-01-01,TR017,280.9
2025-01-01,TR018,706.4
2025-01-01,TR019,99.6
2025-01-01,TR020,748.8
2025-01-01,EX001,739.5
2025-01-01,EX002,808.1
2025-01-01,EX003,153.4
2025-01-01,EX004,168.4
2025-01-01,EX005,795.7
2025-01-01,DR001,469.7
2025-01-01,DR002,401.7
2025-01-01,DR003,550.1
2025-01-02,TR001,128.0
2025-01-02,TR002,607.8
2025-01-02,TR003,855.0
2025-01-02,TR004,634.1
2025-01-02,TR005,460.9
2025-01-02,TR006,867.9
2025-01-02,TR007,644.6
2025-01-02,TR008,126.7
2025-01-02,TR009,629.4
2025-01-02,TR010,129.0
2025-01-02,TR011,331.9
2025-01-02,TR012,584.9
2025-01-02,TR013,256.8
2025-01-02,TR014,111.3
2025-01-02,TR015,586.7
2025-01-02,TR016,314.4
2025-01-02,TR017,517.0
2025-01-02,TR018,294.1
2025-01-02,TR019,642.9
2025-01-02,TR020,814.5
2025-01-02,EX001,151.0
2025-01-02,EX002,724.8
2025-01-02,EX003,208.0
2025-01-02,EX004,350.1
2025-01-02,EX005,373.0
2025-01-02,DR001,249.2
2025-01-02,DR002,141.7
2025-01-02,DR003,710.2
2025-01-03,TR001,730.8
2025-01-03,TR002,897.4
2025-01-03,TR003,846.4
2025-01-03,TR004,436.4
2025-01-03,TR005,189.4
2025-01-03,TR006,88.8
2025-01-03,TR007,515.8
2025-01-03,TR008,785.7
2025-01-03,TR009,299.7
2025-01-03,TR010,243.1
2025-01-03,TR011,439.9
2025-01-03,TR012,812.7
2025-01-03,TR013,450.4
2025-01-03,TR014,672.6
2025-01-03,TR015,459.3
2025-01-03,TR016,385.8
2025-01-03,TR017,441.5
2025-01-03,TR018,710.1
2025-01-03,TR019,698.6
2025-01-03,TR020,434.0
2025-01-03,EX001,299.4
2025-01-03,EX002,194.1
2025-01-03,EX003,81.1
2025-01-03,EX004,172.9
2025-01-03,EX005,215.0
2025-01-03,DR001,645.7
2025-01-03,DR002,750.7
2025-01-03,DR003,684.3
2025-01-04,TR001,673.1
2025-01-04,TR002,895.3
2025-01-04,TR003,869.3
2025-01-04,TR004,300.5
2025-01-04,TR005,199.0
2025-01-04,TR006,205.7
2025-01-04,TR007,814.4
2025-01-04,TR008,163.9
2025-01-04,TR009,358.9
2025-01-04,TR010,514.9
2025-01-04,TR011,583.0
2025-01-04,TR012,568.5
2025-01-04,TR013,724.9
2025-01-04,TR014,548.8
2025-01-04,TR015,777.9
2025-01-04,TR016,149.4
2025-01-04,TR017,784.4
2025-01-04,TR018,563.8
2025-01-04,TR019,262.8
2025-01-04,TR020,881.7
2025-01-04,EX001,850.6
2025-01-04,EX002,773.5
2025-01-04,EX003,827.5
2025-01-04,EX004,393.4
2025-01-04,EX005,266.8
2025-01-04,DR001,230.0
2025-01-04,DR002,796.5
2025-01-04,DR003,757.8
2025-01-05,TR001,884.4
2025-01-05,TR002,775.6
2025-01-05,TR003,598.5
2025-01-05,TR004,196.7
2025-01-05,TR005,215.2
2025-01-05,TR006,468.4
2025-01-05,TR007,709.6
2025-01-05,TR008,222.1
2025-01-05,TR009,830.7
2025-01-05,TR010,640.7
2025-01-05,TR011,336.1
2025-01-05,TR012,806.3
2025-01-05,TR013,570.9
2025-01-05,TR014,681.2
2025-01-05,TR015,396.1
2025-01-05,TR016,402.7
2025-01-05,TR017,90.3
2025-01-05,TR018,521.1
2025-01-05,TR019,703.9
2025-01-05,TR020,874.4
2025-01-05,EX001,811.6
2025-01-05,EX002,151.3
2025-01-05,EX003,884.0
2025-01-05,EX004,202.6
2025-01-05,EX005,113.7
2025-01-05,DR001,694.1
2025-01-05,DR002,822.8
2025-01-05,DR003,858.8
2025-01-06,TR001,756.5
2025-01-06,TR002,248.0
2025-01-06,TR003,206.3
2025-01-06,TR004,128.4
2025-01-06,TR005,557.2
2025-01-06,TR006,479.5
2025-01-06,TR007,169.6
2025-01-06,TR008,461.2
2025-01-06,TR009,545.2
2025-01-06,TR010,672.8
2025-01-06,TR011,419.6
2025-01-06,TR012,341.0
2025-01-06,TR013,625.9
2025-01-06,TR014,641.1
2025-01-06,TR015,301.8
2025-01-06,TR016,96.3
2025-01-06,TR017,855.5
2025-01-06,TR018,699.3
2025-01-06,TR019,244.9
2025-01-06,TR020,543.8
2025-01-06,EX001,567.9
2025-01-06,EX002,183.3
2025-01-06,EX003,237.2
2025-01-06,EX004,864.5
2025-01-06,EX005,496.6
2025-01-06,DR001,237.0
2025-01-06,DR002,734.0
2025-01-06,DR003,465.9
2025-01-07,TR001,603.5
2025-01-07,TR002,324.0
2025-01-07,TR003,127.5
2025-01-07,TR004,215.3
2025-01-07,TR005,877.9
2025-01-07,TR006,591.3
2025-01-07,TR007,761.5
2025-01-07,TR008,97.6
2025-01-07,TR009,707.7
2025-01-07,TR010,477.7
2025-01-07,TR011,625.6
2025-01-07,TR012,373.7
2025-01-07,TR013,589.1
2025-01-07,TR014,109.2
2025-01-07,TR015,117.4
2025-01-07,TR016,735.0
2025-01-07,TR017,182.1
2025-01-07,TR018,91.5
2025-01-07,TR019,828.2
2025-01-07,TR020,297.7
2025-01-07,EX001,557.6
2025-01-07,EX002,767.9
2025-01-07,EX003,691.6
2025-01-07,EX004,118.2
2025-01-07,EX005,540.0
2025-01-07,DR001,524.3
2025-01-07,DR002,367.1
2025-01-07,DR003,697.9
2025-01-08,TR001,870.5
2025-01-08,TR002,200.7
2025-01-08,TR003,199.1
2025-01-08,TR004,682.5
2025-01-08,TR005,452.6
2025-01-08,TR006,732.1
2025-01-08,TR007,195.7
2025-01-08,TR008,112.7
2025-01-08,TR009,652.3
2025-01-08,TR010,895.7
2025-01-08,TR011,157.7
2025-01-08,TR012,788.8
2025-01-08,TR013,395.9
2025-01-08,TR014,93.8
2025-01-08,TR015,498.2
2025-01-08,TR016,308.7
2025-01-08,TR017,648.6
2025-01-08,TR018,316.0
2025-01-08,TR019,475.0
2025-01-08,TR020,244.5
2025-01-08,EX001,759.0
2025-01-08,EX002,838.9
2025-01-08,EX003,410.7
2025-01-08,EX004,448.1
2025-01-08,EX005,885.8
2025-01-08,DR001,196.5
2025-01-08,DR002,743.1
2025-01-08,DR003,545.2
2025-01-09,TR001,802.2
2025-01-09,TR002,319.8
2025-01-09,TR003,322.8
2025-01-09,TR004,347.2
2025-01-09,TR005,93.6
2025-01-09,TR006,219.3
2025-01-09,TR007,895.6
2025-01-09,TR008,284.1
2025-01-09,TR009,96.3
2025-01-09,TR010,308.4
2025-01-09,TR011,414.9
2025-01-09,TR012,529.2
2025-01-09,TR013,136.2
2025-01-09,TR014,728.2
2025-01-09,TR015,756.9
2025-01-09,TR016,254.8
2025-01-09,TR017,734.7
2025-01-09,TR018,376.4
2025-01-09,TR019,427.0
2025-01-09,TR020,847.8
2025-01-09,EX001,811.4
2025-01-09,EX002,387.6
2025-01-09,EX003,480.3
2025-01-09,EX004,314.9
2025-01-09,EX005,502.7
2025-01-09,DR001,639.2
2025-01-09,DR002,156.0
2025-01-09,DR003,834.3
2025-01-10,TR001,669.5
2025-01-10,TR002,159.3
2025-01-10,TR003,792.6
2025-01-10,TR004,689.8
2025-01-10,TR005,336.8
2025-01-10,TR006,507.6
2025-01-10,TR007,785.3
2025-01-10,TR008,873.9
2025-01-10,TR009,310.5
2025-01-10,TR010,613.5
2025-01-10,TR011,785.4
2025-01-10,TR012,890.3
2025-01-10,TR013,138.0
2025-01-10,TR014,493.0
2025-01-10,TR015,796.4
2025-01-10,TR016,82.6
2025-01-10,TR017,438.5
2025-01-10,TR018,559.0
2025-01-10,TR019,511.7
2025-01-10,TR020,680.9
2025-01-10,EX001,133.7
2025-01-10,EX002,724.0
2025-01-10,EX003,312.2
2025-01-10,EX004,755.9
2025-01-10,EX005,424.0
2025-01-10,DR001,115.2
2025-01-10,DR002,870.4
2025-01-10,DR003,720.1
2025-01-11,TR001,365.2
2025-01-11,TR002,301.4
2025-01-11,TR003,563.0
2025-01-11,TR004,889.6
2025-01-11,TR005,317.9
2025-01-11,TR006,857.6
2025-01-11,TR007,350.9
2025-01-11,TR008,657.4
2025-01-11,TR009,393.0
2025-01-11,TR010,149.7
2025-01-11,TR011,847.7
2025-01-11,TR012,214.4
2025-01-11,TR013,854.6
2025-01-11,TR014,164.7
2025-01-11,TR015,298.9
2025-01-11,TR016,835.2
2025-01-11,TR017,620.0
2025-01-11,TR018,235.4
2025-01-11,TR019,565.5
2025-01-11,TR020,227.9
2025-01-11,EX001,797.0
2025-01-11,EX002,120.9
2025-01-11,EX003,514.4
2025-01-11,EX004,132.0
2025-01-11,EX005,649.9
2025-01-11,DR001,847.4
2025-01-11,DR002,761.5
2025-01-11,DR003,384.8
2025-01-12,TR001,274.3
2025-01-12,TR002,179.2
2025-01-12,TR003,796.4
