Date,Shift,Truck_ID,Loads,Tonnes_Hauled
2025-01-01,Day,TR001,22,1100
2025-01-01,Day,TR002,31,1426
2025-01-01,Day,TR003,22,1144
2025-01-01,Day,TR004,24,1200
2025-01-01,Day,TR005,27,1404
2025-01-01,Day,TR006,16,768
2025-01-01,Day,TR007,28,1400
2025-01-01,Day,TR008,19,1083
2025-01-01,Day,TR009,19,988
2025-01-01,Day,TR010,17,867
2025-01-01,Day,TR011,27,1485
2025-01-01,Day,TR012,34,2040
2025-01-01,Day,TR013,12,624
2025-01-01,Day,TR014,18,1008
2025-01-01,Day,TR015,18,1152
2025-01-01,Day,TR016,18,990
2025-01-01,Day,TR017,14,882
2025-01-01,Day,TR018,32,1920
2025-01-01,Day,TR019,20,920
2025-01-01,Day,TR020,28,1484
2025-01-01,Night,TR001,34,1972
2025-01-01,Night,TR002,24,1536
2025-01-01,Night,TR003,30,1620
2025-01-01,Night,TR004,12,552
2025-01-01,Night,TR005,22,1232
2025-01-01,Night,TR006,12,564
2025-01-01,Night,TR007,28,1680
2025-01-01,Night,TR008,12,660
2025-01-01,Night,TR009,13,767
2025-01-01,Night,TR010,31,1922
2025-01-01,Night,TR011,25,1425
2025-01-01,Night,TR012,33,1881
2025-01-01,Night,TR013,22,1320
2025-01-01,Night,TR014,25,1525
2025-01-01,Night,TR015,24,1488
2025-01-01,Night,TR016,13,585
2025-01-01,Night,TR017,14,784
2025-01-01,Night,TR018,28,1372
2025-01-01,Night,TR019,15,930
2025-01-01,Night,TR020,29,1653
2025-01-02,Day,TR001,23,1219
2025-01-02,Day,TR002,12,576
2025-01-02,Day,TR003,32,1632
2025-01-02,Day,TR004,28,1652
2025-01-02,Day,TR005,19,931
2025-01-02,Day,TR006,27,1242
2025-01-02,Day,TR007,23,1426
2025-01-02,Day,TR008,28,1680
2025-01-02,Day,TR009,13,624
2025-01-02,Day,TR010,18,900
2025-01-02,Day,TR011,16,1024
2025-01-02,Day,TR012,15,885
2025-01-02,Day,TR013,25,1425
2025-01-02,Day,TR014,16,816
2025-01-02,Day,TR015,25,1250
2025-01-02,Day,TR016,27,1215
2025-01-02,Day,TR017,13,767
2025-01-02,Day,TR018,26,1170
2025-01-02,Day,TR019,32,1440
2025-01-02,Day,TR020,33,1947
2025-01-02,Night,TR001,34,2142
2025-01-02,Night,TR002,19,1140
2025-01-02,Night,TR003,16,864
2025-01-02,Night,TR004,17,918
2025-01-02,Night,TR005,32,1696
2025-01-02,Night,TR006,14,714
2025-01-02,Night,TR007,30,1650
2025-01-02,Night,TR008,24,1272
2025-01-02,Night,TR009,18,1008
2025-01-02,Night,TR010,26,1612
2025-01-02,Night,TR011,26,1664
2025-01-02,Night,TR012,31,1426
2025-01-02,Night,TR013,21,1092
2025-01-02,Night,TR014,12,576
2025-01-02,Night,TR015,29,1508
2025-01-02,Night,TR016,15,750
2025-01-02,Night,TR017,18,864
2025-01-02,Night,TR018,14,840
2025-01-02,Night,TR019,30,1620
2025-01-02,Night,TR020,26,1638
2025-01-03,Day,TR001,31,1395
2025-01-03,Day,TR002,33,1518
2025-01-03,Day,TR003,12,636
2025-01-03,Day,TR004,29,1334
2025-01-03,Day,TR005,18,900
2025-01-03,Day,TR006,21,1344
2025-01-03,Day,TR007,19,931
2025-01-03,Day,TR008,14,672
2025-01-03,Day,TR009,15,840
2025-01-03,Day,TR010,21,1134
2025-01-03,Day,TR011,31,1736
2025-01-03,Day,TR012,15,780
2025-01-03,Day,TR013,19,1159
2025-01-03,Day,TR014,19,893
2025-01-03,Day,TR015,28,1484
2025-01-03,Day,TR016,14,812
2025-01-03,Day,TR017,16,992
2025-01-03,Day,TR018,31,1612
2025-01-03,Day,TR019,24,1344
2025-01-03,Day,TR020,27,1242
2025-01-03,Night,TR001,19,912
2025-01-03,Night,TR002,28,1288
2025-01-03,Night,TR003,23,1357
2025-01-03,Night,TR004,33,1650
2025-01-03,Night,TR005,12,708
2025-01-03,Night,TR006,12,552
2025-01-03,Night,TR007,34,2108
2025-01-03,Night,TR008,28,1708
2025-01-03,Night,TR009,13,598
2025-01-03,Night,TR010,18,810
2025-01-03,Night,TR011,32,1472
2025-01-03,Night,TR012,24,1488
2025-01-03,Night,TR013,28,1372
2025-01-03,Night,TR014,22,1210
2025-01-03,Night,TR015,29,1537
2025-01-03,Night,TR016,18,1080
2025-01-03,Night,TR017,32,1728
2025-01-03,Night,TR018,12,660
2025-01-03,Night,TR019,32,2048
2025-01-03,Night,TR020,21,1008
2025-01-04,Day,TR001,25,1525
2025-01-04,Day,TR002,33,1518
2025-01-04,Day,TR003,18,972
2025-01-04,Day,TR004,14,868
2025-01-04,Day,TR005,14,812
2025-01-04,Day,TR006,33,1914
2025-01-04,Day,TR007,29,1450
2025-01-04,Day,TR008,31,1643
2025-01-04,Day,TR009,13,676
2025-01-04,Day,TR010,20,1100
2025-01-04,Day,TR011,18,972
